Month,District_Name,Sector,Investment,Number_Of_Employees,social_status_General,social_status_OBC,social_status_SC_ST
2020-06-01,Ranga Reddy,Agro based incl Cold Storages,0.64,28,1,1,0
2020-06-01,Ranga Reddy,Electrical and Electronic Products,42.7002,100,1,0,0
2020-06-01,Ranga Reddy,Engineering,4.5864,30,0,1,0
2020-06-01,Ranga Reddy,Food Processing,35.84,86,3,0,0
2020-06-01,Ranga Reddy,Granite and Stone Crushing,0.98,9,1,0,0
2020-06-01,Ranga Reddy,Pharmaceuticals and Chemicals,3.0723,20,1,0,0
2020-06-01,Ranga Reddy,Plastic and Rubber,3.0847,20,1,0,0
2020-06-01,Ranga Reddy,R&D,0.2726,50,1,0,0
2020-06-01,Sangareddy,Agro based incl Cold Storages,0.24,15,1,0,0
2020-06-01,Sangareddy,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.63,15,2,0,0
2020-06-01,Sangareddy,Electrical and Electronic Products,1.8986,20,1,0,0
2020-06-01,Sangareddy,Engineering,0.4778,10,0,1,1
2020-06-01,Sangareddy,Granite and Stone Crushing,6.1,55,0,1,0
2020-06-01,Sangareddy,Others,22.333000000000002,435,3,0,0
2020-06-01,Sangareddy,Pharmaceuticals and Chemicals,5.2620000000000005,61,3,0,0
2020-06-01,Sangareddy,R&D,4.9,90,1,0,0
2020-06-01,Sangareddy,Solar and Other Renewable Energy,0.24,343,1,0,0
2020-06-01,Siddipet,Food Processing,0.625,6,1,0,0
2020-06-01,Siddipet,Pharmaceuticals and Chemicals,1.3104,10,1,0,0
2020-06-01,Suryapet,Food Processing,3.6271,10,1,0,0
2020-06-01,Suryapet,Granite and Stone Crushing,2.65,40,2,0,0
2020-06-01,Vikarabad,Food Processing,0.2,6,0,1,0
2020-06-01,Vikarabad,Textiles,2.7,45,0,1,0
2020-06-01,Wanaparthy,Food Processing,7.31,40,1,0,0
2020-06-01,Warangal,Agro based incl Cold Storages,1.6500000000000001,37,2,8,0
2020-06-01,Warangal,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.65,64,1,4,1
2020-06-01,Warangal,Granite and Stone Crushing,0.34,16,0,2,0
2020-06-01,Warangal,Pharmaceuticals and Chemicals,0.55,18,1,1,0
2020-06-01,Warangal,Textiles,8.549999999999999,180,2,4,3
2020-06-01,Yadadri Bhuvanagiri,Agro based incl Cold Storages,0.48,16,1,2,0
2020-06-01,Yadadri Bhuvanagiri,Engineering,1.3333,30,1,0,0
2020-06-01,Yadadri Bhuvanagiri,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",5.6,15,0,2,0
2020-06-01,Yadadri Bhuvanagiri,Food Processing,0.3,3,1,0,0
2020-06-01,Yadadri Bhuvanagiri,Granite and Stone Crushing,0.15,7,1,0,0
2020-06-01,Yadadri Bhuvanagiri,Others,1.2974,30,1,0,0
2020-06-01,Yadadri Bhuvanagiri,Paper and Printing,0.1125,4,0,1,0
2020-06-01,Yadadri Bhuvanagiri,Solar and Other Renewable Energy,746.0,45,0,1,0
2020-07-01,Adilabad,Beverages,0.09,2,0,1,0
2020-07-01,Adilabad,Food Processing,0.014,1,0,1,0
2020-07-01,Adilabad,Granite and Stone Crushing,0.1,9,0,1,0
2020-07-01,Adilabad,Textiles,0.1,50,1,0,0
2020-07-01,Bhadradri Kothagudem,Agro based incl Cold Storages,0.1,2,0,0,1
2020-07-01,Bhadradri Kothagudem,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.245,16,1,0,1
2020-07-01,Bhadradri Kothagudem,Electrical and Electronic Products,0.05,0,0,0,1
2020-07-01,Jagtial,Agro based incl Cold Storages,1.0465,37,1,5,0
2020-07-01,Jagtial,Beverages,0.497,18,0,3,1
2020-07-01,Jagtial,Engineering,0.4033,18,1,3,0
2020-07-01,Jagtial,Food Processing,0.5125,25,1,2,0
2020-07-01,Jagtial,Textiles,0.2325,12,0,1,0
2020-07-01,Jagtial,Wood and Leather,0.06,2,0,1,0
2020-07-01,Jangaon,Beverages,0.045,2,0,1,0
2020-07-01,Jangaon,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.65,12,1,1,0
2020-07-01,Jangaon,Engineering,0.14400000000000002,4,0,1,1
2020-07-01,Jangaon,Granite and Stone Crushing,0.135,12,0,1,0
2020-07-01,Jayashankar Bhupalpally,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.05,4,1,0,0
2020-07-01,Jayashankar Bhupalpally,Engineering,0.013,2,0,1,0
2020-07-01,Jogulamba Gadwal,"Cement, Cement & Concrete Products, Fly Ash Bricks",4.4,0,1,0,0
2020-07-01,Kamareddy,Agro based incl Cold Storages,0.08,2,0,1,0
2020-07-01,Kamareddy,Food Processing,0.01,1,0,1,0
2020-07-01,Karimnagar,Agro based incl Cold Storages,0.38,18,0,2,0
2020-07-01,Karimnagar,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.7275,38,2,1,1
2020-07-01,Karimnagar,Engineering,0.175,10,0,2,0
2020-07-01,Karimnagar,Food Processing,0.768,34,1,3,0
2020-07-01,Karimnagar,Granite and Stone Crushing,3.035,90,1,5,0
2020-07-01,Khammam,Agro based incl Cold Storages,0.21000000000000002,8,4,0,0
2020-07-01,Khammam,Food Processing,1.045,6,1,0,0
2020-07-01,Khammam,Granite and Stone Crushing,1.6094,12,1,0,0
2020-07-01,Komaram Bheem Asifabad,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.01,55,1,4,0
2020-07-01,Komaram Bheem Asifabad,Food Processing,0.06,5,0,0,1
2020-07-01,Mahabubabad,Agro based incl Cold Storages,0.21600000000000003,10,0,2,0
2020-07-01,Mahabubabad,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.253,18,0,1,2
2020-07-01,Mahabubabad,Engineering,0.041,3,0,1,0
2020-07-01,Mahabubabad,Textiles,0.046,3,0,1,0
2020-07-01,Mahabubabad,Wood and Leather,0.041,3,0,1,0
2020-07-01,Mahabubnagar,Agro based incl Cold Storages,11.9338,32,3,0,1
2020-07-01,Mahabubnagar,Food Processing,0.41,9,1,0,0
2020-07-01,Mahabubnagar,Paper and Printing,0.25,10,1,0,0
2020-07-01,Mahabubnagar,Pharmaceuticals and Chemicals,21.3417,145,1,0,1
2020-07-01,Mahabubnagar,Plastic and Rubber,0.5,20,1,0,0
2020-07-01,Mancherial,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.6,24,0,2,1
2020-07-01,Mancherial,Engineering,0.038,2,0,2,0
2020-07-01,Mancherial,Food Processing,0.5855,5,1,0,0
2020-07-01,Mancherial,Granite and Stone Crushing,0.2,15,0,1,0
2020-07-01,Mancherial,Plastic and Rubber,1.8,44,0,1,1
2020-07-01,Medak,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.19,15,1,0,0
2020-07-01,Medak,R&D,0.35,5,1,0,0
2020-07-01,Medchal-Malkajgiri,Agro based incl Cold Storages,5.0200000000000005,90,3,1,0
2020-07-01,Medchal-Malkajgiri,"Cement, Cement & Concrete Products, Fly Ash Bricks",2.29,20,2,0,0
2020-07-01,Medchal-Malkajgiri,Electrical and Electronic Products,2.1092,44,3,0,0
2020-07-01,Medchal-Malkajgiri,Engineering,5.3276,147,13,1,0
2020-07-01,Medchal-Malkajgiri,Food Processing,63.15899999999999,175,8,0,0
2020-07-01,Medchal-Malkajgiri,Others,275.0,150,1,0,0
2020-07-01,Medchal-Malkajgiri,Paper and Printing,0.445,14,2,0,0
2020-07-01,Medchal-Malkajgiri,Pharmaceuticals and Chemicals,1.1199999999999999,8,2,0,0
2020-07-01,Medchal-Malkajgiri,Plastic and Rubber,2.6889,45,3,0,0
2020-07-01,Medchal-Malkajgiri,R&D,2.0,10,1,0,0
2020-07-01,Nagarkurnool,Agro based incl Cold Storages,1.7812000000000001,96,1,0,4
2020-07-01,Nalgonda,Agro based incl Cold Storages,0.75,23,0,2,3
2020-07-01,Nalgonda,Engineering,0.63,8,0,1,0
2020-07-01,Nalgonda,Food Processing,0.7309,16,0,2,0
2020-07-01,Nalgonda,Paper and Printing,1.0,15,0,1,0
2020-07-01,Nalgonda,Pharmaceuticals and Chemicals,61.3768,100,1,0,0
2020-07-01,Nalgonda,Plastic and Rubber,30.11,40,1,0,0
2020-07-01,Nalgonda,Textiles,0.25,10,0,1,0
2020-07-01,Nirmal,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.1,8,1,0,0
2020-07-01,Nirmal,Engineering,3.1968,15,1,0,0
2020-07-01,Nirmal,Granite and Stone Crushing,0.19,10,1,0,0
2020-07-01,Nizamabad,Agro based incl Cold Storages,0.4612,4,0,1,1
2020-07-01,Nizamabad,Engineering,0.09000000000000001,8,0,2,0
2020-07-01,Nizamabad,Food Processing,6.2815,64,3,4,0
2020-07-01,Peddapalli,Agro based incl Cold Storages,0.2,4,1,0,0
2020-07-01,Peddapalli,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.3325,14,0,2,0
2020-07-01,Peddapalli,Granite and Stone Crushing,0.7,12,0,0,1
2020-07-01,Rajanna Sircilla,Agro based incl Cold Storages,1.769,98,4,4,1
2020-07-01,Rajanna Sircilla,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.7775000000000001,40,0,4,0
2020-07-01,Rajanna Sircilla,Engineering,0.63,32,0,4,0
2020-07-01,Rajanna Sircilla,Food Processing,0.7775000000000001,37,1,5,0
2020-07-01,Rajanna Sircilla,Others,0.1825,12,0,1,0
2020-07-01,Rajanna Sircilla,Textiles,0.1,8,0,1,0
2020-07-01,Ranga Reddy,Agro based incl Cold Storages,1.05,0,1,0,0
2020-07-01,Ranga Reddy,"Cement, Cement & Concrete Products, Fly Ash Bricks",2.1799999999999997,75,3,0,0
2020-07-01,Ranga Reddy,Engineering,13.1183,156,5,0,0
2020-07-01,Ranga Reddy,Food Processing,0.05,8,1,0,0
2020-07-01,Ranga Reddy,Granite and Stone Crushing,0.49,28,2,0,0
2020-07-01,Ranga Reddy,Others,1.8898,0,1,0,0
2020-07-01,Ranga Reddy,Pharmaceuticals and Chemicals,0.24,50,1,0,0
2020-07-01,Ranga Reddy,"Real Estate,Industrial Parks and IT Buildings",149.0,27000,1,0,0
2020-07-01,Ranga Reddy,Textiles,0.25,5,1,0,0
2020-07-01,Sangareddy,Agro based incl Cold Storages,4.1,15,1,0,0
2020-07-01,Sangareddy,"Cement, Cement & Concrete Products, Fly Ash Bricks",3.15,47,4,0,0
2020-07-01,Sangareddy,Electrical and Electronic Products,9.1,200,1,0,0
2020-07-01,Sangareddy,Engineering,2.733,25,2,0,0
2020-07-01,Sangareddy,Food Processing,1.2968,20,1,0,0
2020-07-01,Sangareddy,Others,16.479,40,1,0,0
2020-07-01,Sangareddy,Pharmaceuticals and Chemicals,0.5,15,2,0,0
2020-07-01,Sangareddy,Plastic and Rubber,0.715,20,1,0,1
2020-07-01,Sangareddy,Textiles,4.1807,40,1,1,0
2020-07-01,Siddipet,Engineering,0.5806,6,0,1,0
2020-07-01,Siddipet,Food Processing,1.49,9,1,0,0
2020-07-01,Siddipet,Textiles,1.485,15,1,0,0
2020-07-01,Suryapet,Granite and Stone Crushing,1.3413,12,1,0,0
2020-07-01,Vikarabad,Beverages,0.25,155,1,0,0
2020-07-01,Vikarabad,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.05,6,0,1,0
2020-07-01,Vikarabad,Food Processing,0.5,20,2,0,0
2020-07-01,Vikarabad,Plastic and Rubber,0.2386,5,1,0,0
2020-07-01,Vikarabad,Textiles,4.485,21,1,1,0
2020-07-01,Wanaparthy,Food Processing,4.2299999999999995,44,3,0,0
2020-07-01,Warangal,Agro based incl Cold Storages,2.3999999999999995,13,1,1,1
2020-07-01,Warangal,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.41000000000000003,6,0,1,1
2020-07-01,Warangal,Food Processing,0.9,18,1,0,0
2020-07-01,Warangal,Granite and Stone Crushing,0.5,25,1,0,0
2020-07-01,Warangal,Textiles,5.699999999999999,120,1,4,1
2020-07-01,Yadadri Bhuvanagiri,Agro based incl Cold Storages,0.33999999999999997,8,1,1,0
2020-07-01,Yadadri Bhuvanagiri,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.5474,7,1,0,0
2020-07-01,Yadadri Bhuvanagiri,Engineering,0.45,40,0,0,1
2020-07-01,Yadadri Bhuvanagiri,Food Processing,5.6373,156,4,0,0
2020-07-01,Yadadri Bhuvanagiri,Others,1.0,50,0,1,0
2020-07-01,Yadadri Bhuvanagiri,Pharmaceuticals and Chemicals,0.75,0,1,0,0
2020-07-01,Yadadri Bhuvanagiri,Plastic and Rubber,0.35,4,1,0,0
2020-08-01,Bhadradri Kothagudem,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.13,6,0,0,1
2020-08-01,Bhadradri Kothagudem,Food Processing,0.04,1,0,1,0
2020-08-01,Bhadradri Kothagudem,Textiles,3.09,60,1,0,0
2020-08-01,Jagtial,Agro based incl Cold Storages,0.8975,28,0,5,0
2020-08-01,Jagtial,Beverages,0.18,4,0,1,0
2020-08-01,Jagtial,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.25,8,0,2,0
2020-08-01,Jagtial,Engineering,0.19,4,0,2,0
2020-08-01,Jagtial,Food Processing,0.4,6,1,2,0
2020-08-01,Jagtial,Paper and Printing,0.15,2,0,1,0
2020-08-01,Jagtial,Plastic and Rubber,0.14,4,0,1,0
2020-08-01,Jagtial,Wood and Leather,0.25,4,0,1,0
2020-08-01,Jangaon,Beverages,0.0225,1,0,1,0
2020-08-01,Jangaon,Engineering,0.15,3,1,0,0
2020-08-01,Jangaon,Food Processing,0.03,2,0,1,0
2020-08-01,Jangaon,Granite and Stone Crushing,2.35,31,0,2,0
2020-08-01,Jangaon,Pharmaceuticals and Chemicals,0.08,5,0,0,1
2020-08-01,Jayashankar Bhupalpally,Agro based incl Cold Storages,0.65,4,1,0,0
2020-08-01,Jogulamba Gadwal,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",0.6,5,0,0,1
2020-08-01,Kamareddy,Agro based incl Cold Storages,0.25,22,1,1,0
2020-08-01,Kamareddy,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.1,6,1,0,0
2020-08-01,Kamareddy,Engineering,0.02,2,1,0,0
2020-08-01,Kamareddy,Food Processing,0.02,3,2,0,0
2020-08-01,Kamareddy,Wood and Leather,0.16,12,0,2,0
2020-08-01,Karimnagar,Agro based incl Cold Storages,0.7883,41,2,2,0
2020-08-01,Karimnagar,Engineering,0.2325,10,0,1,0
2020-08-01,Karimnagar,Food Processing,0.898,60,0,4,0
2020-08-01,Karimnagar,Granite and Stone Crushing,2.902,90,3,3,0
2020-08-01,Khammam,Agro based incl Cold Storages,1.1400000000000001,18,4,2,0
2020-08-01,Khammam,Beverages,0.07,2,0,1,0
2020-08-01,Khammam,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.6855,29,0,2,3
2020-08-01,Khammam,Food Processing,1.9579,22,2,0,0
2020-08-01,Khammam,Granite and Stone Crushing,5.76,32,2,1,0
2020-08-01,Khammam,Wood and Leather,1.2,15,1,0,0
2020-08-01,Komaram Bheem Asifabad,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.17,10,0,1,0
2020-08-01,Mahabubabad,Agro based incl Cold Storages,0.06,5,0,0,1
2020-08-01,Mahabubabad,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.036,5,0,1,0
2020-08-01,Mahabubabad,Wood and Leather,0.052,7,0,2,0
2020-08-01,Mahabubnagar,Agro based incl Cold Storages,2.28,10,1,0,0
2020-08-01,Mahabubnagar,Engineering,2.3445,68,2,0,0
2020-08-01,Mahabubnagar,Food Processing,4.048,30,2,0,0
2020-08-01,Mancherial,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.4,28,0,2,0
2020-08-01,Mancherial,Electrical and Electronic Products,0.1,10,0,0,1
2020-08-01,Mancherial,Engineering,0.03,2,0,1,0
2020-08-01,Mancherial,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",0.1,5,0,0,1
2020-08-01,Medak,Engineering,150.0,400,1,0,0
2020-08-01,Medak,Food Processing,10.315,35,2,0,0
2020-08-01,Medak,Others,8.4192,65,2,0,0
2020-08-01,Medak,Pharmaceuticals and Chemicals,5.5,23,1,0,0
2020-08-01,Medchal-Malkajgiri,Agro based incl Cold Storages,27.36,311,4,0,0
2020-08-01,Medchal-Malkajgiri,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.9446,30,1,0,0
2020-08-01,Medchal-Malkajgiri,Electrical and Electronic Products,0.15,5,0,1,0
2020-08-01,Medchal-Malkajgiri,Engineering,22.433400000000002,258,18,0,0
2020-08-01,Medchal-Malkajgiri,Food Processing,2.44,89,6,0,0
2020-08-01,Medchal-Malkajgiri,Paper and Printing,0.25,5,1,0,0
2020-08-01,Medchal-Malkajgiri,Pharmaceuticals and Chemicals,410.68420000000003,1277,13,1,0
2020-08-01,Medchal-Malkajgiri,Plastic and Rubber,1.7495,90,7,1,0
2020-08-01,Mulugu,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.0794,4,0,1,0
2020-08-01,Mulugu,Food Processing,0.011,10,0,0,1
2020-08-01,Nagarkurnool,Textiles,5.132,18,0,1,0
2020-08-01,Nalgonda,Agro based incl Cold Storages,1.278,21,2,1,1
2020-08-01,Nalgonda,"Fertlizers Organic and Inorganic,Pesticides,Insecticides, and Other Related",4.86,20,0,1,0
2020-08-01,Nalgonda,Food Processing,0.099,5,0,1,0
2020-08-01,Nirmal,Beverages,0.04,2,0,1,0
2020-08-01,Nirmal,Engineering,0.09,3,0,1,0
2020-08-01,Nirmal,Food Processing,4.289499999999999,51,2,2,0
2020-08-01,Nizamabad,Agro based incl Cold Storages,0.16999999999999998,6,1,1,0
2020-08-01,Nizamabad,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.1,8,1,0,0
2020-08-01,Nizamabad,Engineering,0.055,3,0,2,0
2020-08-01,Nizamabad,Food Processing,1.724,30,3,1,0
2020-08-01,Peddapalli,Agro based incl Cold Storages,0.4305,9,0,1,2
2020-08-01,Peddapalli,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.6325,26,0,3,1
2020-08-01,Peddapalli,Engineering,0.32,6,1,1,0
2020-08-01,Peddapalli,Food Processing,0.7463,20,2,0,0
2020-08-01,Rajanna Sircilla,Agro based incl Cold Storages,1.0305,59,2,3,0
2020-08-01,Rajanna Sircilla,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.145,12,0,1,0
2020-08-01,Rajanna Sircilla,Engineering,0.1325,8,0,1,0
2020-08-01,Rajanna Sircilla,Food Processing,2.0216,85,5,0,0
2020-08-01,Rajanna Sircilla,Granite and Stone Crushing,0.25,15,1,0,0
2020-08-01,Rajanna Sircilla,Paper and Printing,0.235,15,0,1,0
2020-08-01,Rajanna Sircilla,Textiles,0.735,18,0,3,0
2020-08-01,Rajanna Sircilla,Wood and Leather,0.1525,10,0,1,0
2020-08-01,Ranga Reddy,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.1,20,0,1,0
2020-08-01,Ranga Reddy,Granite and Stone Crushing,0.5,14,2,0,0
2020-08-01,Ranga Reddy,Pharmaceuticals and Chemicals,0.15,5,1,0,0
2020-08-01,Ranga Reddy,Plastic and Rubber,2.436,90,4,0,0
2020-08-01,Ranga Reddy,Solar and Other Renewable Energy,19.87,60,1,0,0
2020-08-01,Ranga Reddy,Textiles,2.7,51,1,1,0
2020-08-01,Ranga Reddy,Wood and Leather,1.71,20,1,0,0
2020-08-01,Sangareddy,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.4,15,1,0,0
2020-08-01,Sangareddy,Engineering,26.1798,252,5,1,0
2020-08-01,Sangareddy,Food Processing,4.0,40,2,0,0
2020-08-01,Sangareddy,Others,2.8715,6,1,0,0
2020-08-01,Sangareddy,Paper and Printing,6.6998,145,2,0,0
2020-08-01,Sangareddy,Plastic and Rubber,30.0,80,1,0,0
2020-08-01,Sangareddy,R&D,1.24,70,2,0,0
2020-08-01,Sangareddy,Textiles,0.84,20,1,0,0
2020-08-01,Siddipet,Food Processing,7.6632,154,4,1,0
2020-08-01,Siddipet,Pharmaceuticals and Chemicals,25.7,45,1,0,0
2020-08-01,Siddipet,R&D,2.2754,42,0,1,0
2020-08-01,Suryapet,Granite and Stone Crushing,0.463,10,1,0,0
2020-08-01,Suryapet,Pharmaceuticals and Chemicals,0.45,9,0,0,1
2020-08-01,Vikarabad,Food Processing,2.6654,30,1,1,0
2020-08-01,Vikarabad,Pharmaceuticals and Chemicals,3.53,30,1,0,0
2020-08-01,Wanaparthy,Food Processing,4.0,20,1,0,0
2020-08-01,Warangal,Agro based incl Cold Storages,0.38,10,1,0,1
2020-08-01,Warangal,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.42,8,0,1,0
2020-08-01,Warangal,Engineering,0.21,20,0,2,0
2020-08-01,Warangal,Food Processing,0.06,2,0,1,0
2020-08-01,Warangal,Textiles,1.62,40,1,0,0
2020-08-01,Yadadri Bhuvanagiri,Electrical and Electronic Products,4.268,65,2,0,0
2020-08-01,Yadadri Bhuvanagiri,Engineering,3.0305,37,2,0,0
2020-08-01,Yadadri Bhuvanagiri,Food Processing,0.4891,15,1,0,0
2020-08-01,Yadadri Bhuvanagiri,Paper and Printing,0.45,8,0,1,0
2020-08-01,Yadadri Bhuvanagiri,Pharmaceuticals and Chemicals,13.149999999999999,187,2,1,0
2020-09-01,Adilabad,Beverages,0.02,5,1,0,0
2020-09-01,Adilabad,Engineering,0.06,5,1,0,0
2020-09-01,Adilabad,Food Processing,1.0725,24,1,2,0
2020-09-01,Adilabad,Others,0.063,5,1,0,0
2020-09-01,Adilabad,Textiles,0.1,20,0,1,0
2020-09-01,Bhadradri Kothagudem,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.24,6,1,0,0
2020-09-01,Bhadradri Kothagudem,Engineering,1.49,12,0,0,1
2020-09-01,Bhadradri Kothagudem,Food Processing,6.04,73,2,2,0
2020-09-01,Bhadradri Kothagudem,Textiles,0.67,20,1,0,0
2020-09-01,Jagtial,Agro based incl Cold Storages,0.9195,26,1,5,0
2020-09-01,Jagtial,Beverages,0.15,10,0,1,0
2020-09-01,Jagtial,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.29,40,2,5,0
2020-09-01,Jagtial,Engineering,0.496,14,0,5,0
2020-09-01,Jagtial,Food Processing,5.976,168,3,4,0
2020-09-01,Jangaon,Agro based incl Cold Storages,0.19740000000000002,10,1,1,0
2020-09-01,Jangaon,Beverages,0.028,2,0,1,0
2020-09-01,Jangaon,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.342,20,0,4,0
2020-09-01,Jangaon,Engineering,0.02,2,0,1,0
2020-09-01,Jangaon,Food Processing,0.095,2,1,0,0
2020-09-01,Jangaon,Granite and Stone Crushing,2.36,40,2,0,0
2020-09-01,Jangaon,Plastic and Rubber,0.2,7,2,0,0
2020-09-01,Jayashankar Bhupalpally,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.06,4,0,0,1
2020-09-01,Jayashankar Bhupalpally,Food Processing,0.9500000000000001,22,1,1,0
2020-09-01,Kamareddy,Agro based incl Cold Storages,5.7587,33,5,3,1
2020-09-01,Kamareddy,Beverages,0.01,1,0,1,0
2020-09-01,Kamareddy,Engineering,0.055,7,1,1,0
2020-09-01,Kamareddy,Food Processing,3.8792,38,3,2,0
2020-09-01,Kamareddy,Wood and Leather,0.29,9,0,2,0
2020-09-01,Karimnagar,Agro based incl Cold Storages,0.32230000000000003,24,1,1,0
2020-09-01,Karimnagar,Beverages,0.336,21,2,0,0
2020-09-01,Karimnagar,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.8225,54,1,3,1
2020-09-01,Karimnagar,Engineering,0.225,16,1,1,0
2020-09-01,Karimnagar,Food Processing,0.13,6,0,1,0
2020-09-01,Karimnagar,Granite and Stone Crushing,1.1252,37,2,1,0
2020-09-01,Karimnagar,Textiles,0.1,25,0,1,0
2020-09-01,Karimnagar,Wood and Leather,0.1075,10,0,1,0
2020-09-01,Khammam,Agro based incl Cold Storages,1.47,36,6,1,1
2020-09-01,Khammam,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.29000000000000004,23,2,1,0
2020-09-01,Khammam,Engineering,0.05,2,0,1,0
2020-09-01,Khammam,Food Processing,0.8919,13,1,1,0
2020-09-01,Khammam,Granite and Stone Crushing,1.5237,12,1,0,0
2020-09-01,Khammam,R&D,1.2,12,1,0,0
2020-09-01,Komaram Bheem Asifabad,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.17,10,0,1,0
2020-09-01,Komaram Bheem Asifabad,Engineering,0.05,5,0,1,0
2020-09-01,Komaram Bheem Asifabad,Food Processing,0.31,16,0,2,0
2020-09-01,Komaram Bheem Asifabad,Plastic and Rubber,0.16,8,0,1,0
2020-09-01,Mahabubabad,Agro based incl Cold Storages,0.471,12,0,0,3
2020-09-01,Mahabubabad,Beverages,0.051,5,0,1,0
2020-09-01,Mahabubabad,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.11099999999999999,5,0,1,1
2020-09-01,Mahabubabad,Engineering,0.161,14,0,4,0
2020-09-01,Mahabubabad,Food Processing,6.197,33,2,1,1
2020-09-01,Mahabubabad,Granite and Stone Crushing,1.52,10,1,0,0
2020-09-01,Mahabubabad,Textiles,0.128,11,0,3,0
2020-09-01,Mahabubnagar,R&D,3.625,50,1,0,0
2020-09-01,Mahabubnagar,Wood and Leather,0.7499,9,0,0,1
2020-09-01,Mancherial,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.5125,25,0,4,0
2020-09-01,Mancherial,Granite and Stone Crushing,0.25,15,0,1,0
2020-09-01,Mancherial,Paper and Printing,0.5,19,0,1,1
2020-09-01,Medak,Engineering,0.4475,8,2,0,0
2020-09-01,Medak,Food Processing,4.1746,49,2,0,1
2020-09-01,Medchal-Malkajgiri,Agro based incl Cold Storages,0.05,3,1,0,0
2020-09-01,Medchal-Malkajgiri,"Cement, Cement & Concrete Products, Fly Ash Bricks",1.6945999999999999,31,3,0,0
2020-09-01,Medchal-Malkajgiri,Electrical and Electronic Products,1.4905,38,5,0,0
2020-09-01,Medchal-Malkajgiri,Engineering,12.7887,213,14,3,2
2020-09-01,Medchal-Malkajgiri,Food Processing,0.25,27,1,1,1
2020-09-01,Medchal-Malkajgiri,Granite and Stone Crushing,3.1,15,1,0,0
2020-09-01,Medchal-Malkajgiri,Others,0.24,0,1,0,0
2020-09-01,Medchal-Malkajgiri,Paper and Printing,0.12,6,1,0,0
2020-09-01,Medchal-Malkajgiri,Pharmaceuticals and Chemicals,1.47,40,6,0,0
2020-09-01,Medchal-Malkajgiri,Plastic and Rubber,4.7,56,5,1,0
2020-09-01,Medchal-Malkajgiri,R&D,1.2,10,0,0,1
2020-09-01,Mulugu,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.07,4,1,0,0
2020-09-01,Nagarkurnool,Food Processing,1.5539999999999998,20,1,0,1
2020-09-01,Nagarkurnool,Others,0.8154,20,1,0,0
2020-09-01,Nagarkurnool,Textiles,5.0255,30,1,0,0
2020-09-01,Nalgonda,Agro based incl Cold Storages,0.15,4,0,0,1
2020-09-01,Nalgonda,"Cement, Cement & Concrete Products, Fly Ash Bricks",0.237,8,0,1,0
2020-09-01,Nalgonda,Food Processing,6.575,42,3,1,0
2020-09-01,Nalgonda,Pharmaceuticals and Chemicals,45.0,1000,1,0,0
2020-09-01,Narayanpet,Food Processing,1.1122,50,3,0,0
2020-09-01,Nirmal,Engineering,0.0,4,1,0,0
2020-09-01,Nirmal,Food Processing,0.05,3,0,1,0
2020-09-01,Nizamabad,Agro based incl Cold Storages,0.19,2,0,0,1
