Month,District,RainFall,Min_Temp,Max_Temp,Min_Humidity,Max_Humidity,Std_Rainfall
2019-04-01,Jagtial,0.14077777777777778,25.40288888888889,40.64588888888889,23.164777777777775,65.95966666666666,0.9431407164755596
2019-04-01,Jangaon,1.3816666666666666,24.292833333333334,39.28133333333333,25.8585,78.04433333333333,4.794786806844914
2019-04-01,Jayashankar Bhupalpally,0.2840952380952381,25.20561904761905,40.0987619047619,25.861714285714285,74.75066666666666,2.063007603533395
2019-04-01,Jogulamba Gadwal,0.12183333333333332,26.216666666666665,40.212666666666664,20.040499999999998,58.21616666666666,0.911459215795741
2019-04-01,Kamareddy,0.10644444444444444,25.412222222222223,40.214444444444446,17.240333333333332,55.80155555555556,0.7496700217530801
2019-04-01,Karimnagar,0.30864197530864196,24.866296296296298,39.959012345679014,25.936913580246916,74.17506172839506,1.6165244907325842
2019-04-01,Khammam,0.34099999999999997,25.190833333333334,39.67575,30.9065,89.72175,2.281214358433742
2019-04-01,Komaram Bheem Asifabad,0.32883333333333337,26.374,40.14783333333333,24.090666666666667,64.67433333333334,1.400340516264304
2019-04-01,Mahabubabad,0.3134782608695652,25.095797101449275,40.12579710144927,26.298115942028986,84.4608695652174,1.8081354018994809
2019-04-01,Mahabubnagar,0.25308943089430896,25.01130081300813,39.69178861788618,19.036666666666665,59.09878048780488,1.3148718284588412
2019-04-01,Mancherial,0.2469230769230769,26.19538461538462,40.015641025641024,26.84628205128205,67.13935897435897,1.8662678962492913
2019-04-01,Medak,0.1858095238095238,25.287904761904763,39.770857142857146,15.831333333333335,59.360095238095234,1.1348028313621077
2019-04-01,Medchal-Malkajgiri,0.9004761904761904,24.812285714285714,38.81952380952381,23.109809523809524,72.10914285714286,2.7430386388402206
2019-04-01,Nagarkurnool,0.42019047619047617,24.531904761904762,39.13333333333333,20.793809523809525,63.43866666666667,3.252581575245581
2019-04-01,Nalgonda,0.5680459770114943,24.8583908045977,39.48827586206897,27.737126436781608,79.10758620689656,2.7046977805554104
2019-04-01,Nirmal,0.19206896551724137,25.277126436781607,40.272068965517235,21.140574712643676,60.43609195402299,1.4139837852095496
2019-04-01,Nizamabad,0.07772357723577235,25.62170731707317,40.763821138211384,19.828861788617886,60.022032520325205,0.5951728974688071
2019-04-01,Peddapalli,0.32047619047619047,25.13952380952381,40.315555555555555,27.40015873015873,74.17301587301587,2.35713099880705
2019-04-01,Rajanna Sircilla,0.2715873015873016,25.186031746031748,40.39301587301587,20.794285714285714,64.09031746031746,1.6256398582238696
2019-04-01,Ranga Reddy,0.9982795698924731,24.331129032258065,38.70247311827957,21.195483870967742,66.13951612903226,3.677771100282034
2019-04-01,Sangareddy,0.40228070175438596,24.900263157894734,39.42877192982456,16.933508771929827,55.781140350877195,2.2578502346992315
2019-04-01,Siddipet,0.7053153153153153,24.60666666666667,39.295585585585584,20.604684684684685,70.09756756756757,3.5916417649529593
2019-04-01,Suryapet,0.2594117647058824,25.431372549019606,39.96127450980392,25.79401960784314,85.92774509803922,1.4353040754720088
2019-04-01,Vikarabad,0.4409195402298851,24.911609195402296,39.148620689655175,18.531494252873564,56.19747126436782,2.224806081299581
2019-04-01,Wanaparthy,0.1631578947368421,25.935087719298245,39.99280701754386,20.21315789473684,58.465087719298246,1.1112354117051644
2019-04-01,Warangal,0.7441441441441441,24.873873873873872,39.80558558558558,24.777117117117115,81.4118018018018,3.3257523114739116
2019-04-01,Yadadri Bhuvanagiri,0.5496296296296296,24.053827160493825,39.135185185185186,24.593950617283948,77.20493827160495,2.607838542764568
2019-05-01,Adilabad,0.05960729312762973,30.190322580645162,42.70687237026648,13.938008415147264,36.02987377279102,1.025323112981538
2019-05-01,Bhadradri Kothagudem,0.7329254727474972,27.91301446051168,41.651501668520574,29.5146829810901,81.69043381535039,3.721251406908032
2019-05-01,Hyderabad,0.32179598953792504,29.859633827375763,40.91211857018308,20.062685265911075,53.071839581517004,1.597624518292665
2019-05-01,Jagtial,0.08322580645161291,29.17236559139785,43.74924731182796,14.999139784946237,48.66494623655914,0.9946456885921358
2019-05-01,Jangaon,0.4198387096774194,28.00774193548387,41.52516129032258,21.968387096774194,64.78032258064516,2.092067479563795
2019-05-01,Jayashankar Bhupalpally,0.2581566820276498,28.691705069124424,42.39050691244239,23.20626728110599,66.90903225806451,1.8714006814371547
2019-05-01,Jogulamba Gadwal,0.7837096774193548,28.878225806451614,41.08467741935484,20.034354838709675,59.292580645161294,3.4494188285613427
2019-05-01,Kamareddy,0.1481720430107527,28.2752688172043,41.79720430107527,14.431720430107527,40.615913978494625,1.2798941578923684
2019-05-01,Karimnagar,0.20406212664277182,28.933333333333334,42.8568697729988,18.288769414575867,59.836798088410994,1.3774439736126771
2019-05-01,Khammam,1.0721774193548388,28.24435483870968,41.98596774193548,30.80725806451613,84.86749999999999,5.284732919900435
2019-05-01,Komaram Bheem Asifabad,0.1346774193548387,29.69435483870968,42.701129032258066,17.49209677419355,50.37161290322581,1.7925101917519255
2019-05-01,Mahabubabad,0.567601683029453,28.12384291725105,42.20476858345021,23.744319775596075,73.44936886395512,3.29007308388439
2019-05-01,Mahabubnagar,0.4846577498033045,28.00771046420142,41.015578284815106,18.47592446892211,55.6059795436664,2.412280070530387
2019-05-01,Mancherial,0.11910669975186104,29.74528535980149,43.10744416873449,20.363399503722086,55.80893300248139,0.7812760360472101
2019-05-01,Medak,0.4142857142857143,28.057235023041475,41.557972350230415,14.102672811059907,48.16589861751152,2.7637326642288054
2019-05-01,Medchal-Malkajgiri,0.6544700460829493,28.54967741935484,40.909677419354836,18.57216589861751,55.164792626728115,2.9284504076256708
2019-05-01,Nagarkurnool,0.6664516129032259,27.7310599078341,40.27917050691244,20.58884792626728,58.83557603686636,3.353925776890548
2019-05-01,Nalgonda,0.13948832035595105,28.76484983314794,41.90222469410456,23.04655172413793,65.59477196885427,1.3910950453850344
2019-05-01,Nirmal,0.029032258064516127,28.636929922135703,42.734149054505004,15.86607341490545,43.7,0.2803359781599729
2019-05-01,Nizamabad,0.0940991345397325,28.547757671125098,42.85837922895358,14.192761605035406,42.261683713611326,0.7936885600297419
2019-05-01,Peddapalli,0.07910906298003072,29.052995391705068,43.27941628264209,19.226881720430107,59.399692780337936,0.6291335717984613
2019-05-01,Rajanna Sircilla,0.13840245775729645,28.414132104454684,42.6431643625192,13.5073732718894,46.52411674347158,0.9205014841888903
2019-05-01,Ranga Reddy,0.4026534859521332,27.69599375650364,40.40509885535901,18.881737773152963,56.21529656607701,2.0327557715239815
2019-05-01,Sangareddy,0.41502546689303904,27.71935483870968,40.995500848896434,15.04363327674024,45.67444821731749,2.7865382258230014
2019-05-01,Siddipet,0.23121185701830863,27.820749782040107,41.428421970357455,16.69293809938971,58.10278988666085,1.7955837368248915
2019-05-01,Suryapet,0.31736242884250476,28.71148007590133,42.25237191650854,24.068880455407967,74.13908918406072,2.018690507531243
2019-05-01,Vikarabad,0.6491657397107898,27.301334816462738,40.57397107897664,16.496440489432704,49.921690767519465,3.052223052397486
2019-05-01,Wanaparthy,0.5056027164685909,28.567741935483873,41.095585738539896,21.186757215619693,59.55398981324279,1.9712955057903094
2019-05-01,Warangal,0.2309503051438535,28.46312118570183,41.935658238884045,21.042371403661726,67.8841325196164,1.3976704828054358
2019-05-01,Yadadri Bhuvanagiri,0.21732377538829153,28.019832735961767,41.36571087216248,20.995340501792114,63.07096774193548,1.2611885889928705
2019-06-01,Adilabad,4.580555555555556,28.328333333333333,39.62611111111111,33.60703703703704,70.77833333333334,12.228303328270364
2019-06-01,Bhadradri Kothagudem,2.09,28.716376811594202,38.979565217391304,42.853913043478265,80.5036231884058,7.279739165808491
